symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
1000PEPEUSDT,240,-1,0.5754,1.0000,1.0000,0.004580,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.7553,0.7203,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9128,C,0.5754,0.9072,0.9512,0.039251,0.6500,0.0000,9.59,0.021458,1.0000,0.8089,1,1,1,1.0,3.0,0.033000,0.101618,0.026398,6
LINKUSDT,240,-1,0.5758,1.0000,1.0000,12.994000,0.040242,0.025000,0.045000,0.065000,0.6212,1.1182,0.6852,0.7537,0.7254,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9252,C,0.5758,0.9091,0.9445,0.039369,0.6500,0.0000,14.31,0.015046,1.0000,0.8091,1,1,1,1.0,3.0,0.033000,0.074111,0.032246,6
SUIUSDT,240,-1,0.5523,1.0000,1.0000,1.525600,0.051862,0.025000,0.045000,0.065000,0.4821,0.8677,0.6852,0.8387,0.8309,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8750,D,0.5523,0.8170,0.8246,0.084564,0.6500,0.0000,10.65,0.022695,1.0000,0.7985,1,1,1,1.0,3.0,0.033000,0.117069,0.029366,6
LDOUSDT,240,-1,0.5777,1.0000,1.0000,0.648300,0.059599,0.025000,0.045000,0.065000,0.4195,0.7550,0.6852,0.7693,0.7136,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9112,C,0.5777,0.8907,0.9601,0.043649,0.6500,0.0000,9.69,0.019219,1.0000,0.8100,1,1,1,1.0,3.0,0.033000,0.104427,0.021132,6
HBARUSDT,240,-1,0.5921,1.0000,1.0000,0.142710,0.048513,0.025000,0.045000,0.065000,0.5153,0.9276,0.6852,0.8468,0.6860,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9023,C,0.5921,0.8091,0.9989,0.076342,0.6500,0.0000,12.21,0.018705,1.0000,0.8165,1,1,1,1.0,3.0,0.033000,0.076309,0.025927,6
TRXUSDT,240,-1,0.6069,1.0000,1.0000,0.280950,0.015000,0.025000,0.045000,0.065000,1.6667,3.0000,0.6852,0.8418,0.7846,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0120,C,0.6069,0.8139,0.8733,0.076572,0.6500,0.0000,40.46,0.004713,1.0000,0.8231,0,0,0,0.0,-1.0,-0.015000,0.020360,0.018544,27
FILUSDT,240,-1,0.5541,1.0000,1.0000,1.613000,0.046407,0.025000,0.045000,0.065000,0.5387,0.9697,0.6852,0.8420,0.8380,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8776,D,0.5541,0.8137,0.8176,0.087120,0.6500,0.0000,11.94,0.022431,1.0000,0.7993,1,1,1,1.0,3.0,0.033000,0.106634,0.009919,5
NEARUSDT,240,-1,0.5649,1.0000,1.0000,1.835000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8104,0.5730,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8766,D,0.5649,0.8455,1.1957,0.085695,0.5730,0.0000,9.41,0.020856,1.0000,0.8042,1,1,1,1.0,3.0,0.033000,0.113352,0.017439,6
UNIUSDT,240,-1,0.5534,1.0000,1.0000,6.119000,0.040433,0.025000,0.045000,0.065000,0.6183,1.1130,0.6852,0.8398,0.8364,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8826,D,0.5534,0.8159,0.8192,0.086153,0.6500,0.0000,13.69,0.021287,1.0000,0.7990,1,1,1,1.0,3.0,0.033000,0.106717,0.018957,6
CRVUSDT,240,-1,0.5633,1.0000,1.0000,0.420000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8470,0.5085,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8526,D,0.5633,0.8089,1.3475,0.120438,0.5085,0.0000,9.39,0.022055,1.0000,0.8035,1,1,1,1.0,3.0,0.033000,0.092857,0.016667,6
