symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ETHUSDT,1440,1,0.6594,0.9933,1.0000,3375.020020,0.068846,0.051635,0.094664,0.146299,0.7500,1.3750,0.8401,0.9572,0.6277,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8961,D,0.7358,0.8777,1.3384,0.178251,0.5000,0.0067,9.58,0.000000,1.0000,0.8811,0.0,-1.0,-0.068846,0.021920,0.075561,2
BCHUSDT,1440,1,0.6274,0.9933,1.0000,472.700012,0.091967,0.068975,0.126455,0.195430,0.7500,1.3750,0.7142,0.9686,0.6907,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8843,D,0.7094,0.7373,1.0340,0.166656,0.5000,0.0067,6.82,0.000000,1.0000,0.8692,0.0,-1.0,-0.091967,0.004908,0.115655,1
XLMUSDT,1440,1,0.5640,0.9933,1.0000,0.114840,0.055843,0.041882,0.076783,0.118665,0.7500,1.3750,0.7772,0.8911,0.4475,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8514,D,0.6625,0.8721,1.7367,0.185576,0.4475,0.0067,10.10,0.000000,1.0000,0.8481,1.0,3.0,0.118665,0.233804,0.034744,1
XLMUSDT,1440,1,0.5839,0.9933,1.0000,0.134480,0.070490,0.052867,0.096923,0.149791,0.7500,1.3750,0.7772,0.9126,0.4936,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8621,D,0.6773,0.8516,1.5744,0.180518,0.4936,0.0067,8.28,0.000000,1.0000,0.8548,0.0,-1.0,-0.070490,0.030339,0.102692,1
DOGEUSDT,1440,1,0.6415,0.9933,1.0000,0.380200,0.130950,0.098212,0.180056,0.278268,0.7500,1.3750,0.7772,0.9509,0.6548,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8929,D,0.7184,0.8173,1.1869,0.165246,0.5000,0.0067,4.90,0.000000,1.0000,0.8733,1.0,1.0,0.098212,0.142530,0.074882,1
1000BONKUSDT,1440,1,0.5634,0.9933,1.0000,0.037275,0.133424,0.100068,0.183458,0.283527,0.7500,1.3750,0.7772,0.8977,0.4419,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8493,D,0.6633,0.8658,1.7588,0.189239,0.4419,0.0067,4.22,0.000000,1.0000,0.8485,0.0,-1.0,-0.133424,0.141086,0.167700,1
ETHUSDT,1440,1,0.6570,0.9933,1.0000,3245.979980,0.074845,0.056133,0.102911,0.159045,0.7500,1.3750,0.8401,0.9514,0.6239,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8957,D,0.7335,0.8830,1.3466,0.176992,0.5000,0.0067,8.78,0.000000,1.0000,0.8801,1.0,1.0,0.056133,0.056689,0.070817,10
XRPUSDT,1440,1,0.5987,0.9933,1.0000,0.704800,0.077361,0.058021,0.106371,0.164392,0.7500,1.3750,0.7772,0.9206,0.5338,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8714,D,0.6871,0.8442,1.4559,0.173976,0.5000,0.0067,7.74,0.000000,1.0000,0.8592,0.0,-1.0,-0.077361,0.062855,0.090806,1
TRXUSDT,1440,1,0.6144,0.9933,1.0000,0.187530,0.042117,0.031588,0.057911,0.089498,0.7500,1.3750,0.7772,0.9109,0.5889,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8844,D,0.6947,0.8532,1.3197,0.160193,0.5000,0.0067,14.59,0.000000,1.0000,0.8626,0.0,-1.0,-0.042117,0.026236,0.074441,1
BTCUSDT,1440,1,0.6981,0.9933,1.0000,87972.000000,0.058768,0.044076,0.080806,0.124882,0.7500,1.3750,0.8401,0.9794,0.7478,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9129,C,0.7647,0.8577,1.1234,0.174740,0.5000,0.0067,11.88,0.000000,1.0000,0.8941,1.0,1.0,0.044076,0.061941,0.020370,1
