symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
KITEUSDT,15,-1,0.6210,1.0000,1.0000,0.210140,0.014600,0.010750,0.020067,0.031534,0.7363,1.3745,0.6852,0.8519,0.8560,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9183,C,0.6210,0.8043,0.8004,0.094012,0.6500,0.0000,42.53,0.014334,1.0000,0.8295,1,0,0,1.0,1.0,0.007825,0.017798,0.022699,2
PROMUSDT,15,-1,0.5913,1.0000,1.0000,1.159000,0.014600,0.006903,0.014100,0.022000,0.4728,0.9658,0.6852,0.7346,0.8489,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9002,C,0.5913,0.9327,0.8071,0.075112,0.6500,0.0000,40.50,0.004320,1.0000,0.8161,0,0,0,0.0,-1.0,-0.014600,0.003451,0.019845,14
FILUSDT,15,-1,0.5660,1.0000,1.0000,0.956000,0.009813,0.009414,0.014100,0.022000,0.9594,1.4369,0.6852,0.8399,0.9227,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8925,D,0.5660,0.8158,0.7426,0.111481,0.6500,0.0000,57.68,0.004815,1.0000,0.8047,0,0,0,0.0,-1.0,-0.009813,0.004184,0.010460,4
LTCUSDT,15,-1,0.6287,1.0000,1.0000,55.180000,0.006900,0.006800,0.014100,0.022000,0.9855,2.0435,0.6852,0.8395,0.9219,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9256,C,0.6287,0.8162,0.7433,0.111153,0.6500,0.0000,91.12,0.002457,1.0000,0.8329,0,0,0,0.0,-1.0,-0.006900,0.001631,0.008880,2
ADAUSDT,15,-1,0.6060,1.0000,1.0000,0.275900,0.007415,0.006800,0.014100,0.022000,0.9170,1.9015,0.6852,0.8402,0.7813,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9339,C,0.6060,0.8155,0.8770,0.075589,0.6500,0.0000,81.73,0.003776,1.0000,0.8227,0,0,0,0.0,-1.0,-0.007415,0.003262,0.008336,2
TRUMPUSDT,15,-1,0.5602,1.0000,1.0000,3.421000,0.014600,0.006800,0.014100,0.022000,0.4658,0.9658,0.6852,0.6276,0.8184,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8850,D,0.5602,1.0918,0.8372,0.073978,0.6276,0.0000,38.37,0.003632,1.0000,0.8021,0,0,0,0.0,-1.0,-0.014600,0.002046,0.014616,16
MONUSDT,15,-1,0.6130,1.0000,1.0000,0.022700,0.014600,0.011894,0.014832,0.023308,0.8147,1.0159,0.6852,0.8408,0.8234,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9260,C,0.6130,0.8150,0.8321,0.083413,0.6500,0.0000,41.99,0.010594,1.0000,0.8258,0,0,0,0.0,-1.0,-0.014600,0.001322,0.036123,5
IRUSDT,15,-1,0.5596,1.0000,1.0000,0.064160,0.014600,0.006800,0.014100,0.022000,0.4658,0.9658,0.6852,0.8491,0.8650,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8702,D,0.5596,0.8070,0.7921,0.095707,0.6500,0.0000,38.33,0.008194,1.0000,0.8018,1,0,0,1.0,1.0,0.005060,0.011378,0.007325,3
1000PEPEUSDT,15,-1,0.6156,1.0000,1.0000,0.003791,0.014600,0.006800,0.014100,0.022000,0.4658,0.9658,0.6852,0.8422,0.8370,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9040,C,0.6156,0.8136,0.8186,0.086927,0.6500,0.0000,42.16,0.005094,1.0000,0.8270,0,0,0,0.0,-1.0,-0.014600,0.001794,0.014825,5
1000SHIBUSDT,15,-1,0.5562,1.0000,1.0000,0.006347,0.008531,0.006800,0.014100,0.022000,0.7971,1.6528,0.6852,0.5828,0.8611,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8836,D,0.5562,1.1757,0.7957,0.102819,0.5828,0.0000,65.20,0.003228,1.0000,0.8003,0,0,0,0.0,-1.0,-0.008531,0.001733,0.009296,4
