symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,impulse_phase,momentum_acceleration,rsi_slope,volume_impulse_confirm,nearest_support_dist_atr,nearest_resistance_dist_atr,sr_position,ema_stack,price_vs_emas,bb_position,bb_width,elapsed,remaining,label_enter,label_cancel,weight
BTCUSDT,240,-1,0.6143,1.0000,1.0000,86936.000000,0.042800,0.036234,0.236234,0.436234,0.8466,5.5195,0.6852,0.8459,0.8236,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9886,C,0.6143,0.8100,0.8320,0.084853,0.6500,0.0000,14.35,0.014726,1.0000,0.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,1.7151
BTCUSDT,240,-1,0.6143,1.0000,1.0000,86936.000000,0.042800,0.036234,0.236234,0.436234,0.8466,5.5195,0.6852,0.8459,0.8236,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9886,C,0.6143,0.8100,0.8320,0.084853,0.6500,0.0000,14.35,0.014726,1.0000,0.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,1.7151
BNBUSDT,240,-1,0.6080,1.0000,1.0000,828.119995,0.042800,0.032266,0.035300,0.050200,0.7539,0.8248,0.6852,0.8485,0.7813,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9843,C,0.6080,0.8075,0.8770,0.078384,0.6500,0.0000,14.21,0.017805,1.0000,0.8236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,1.9844
BNBUSDT,240,-1,0.6080,1.0000,1.0000,828.119995,0.042800,0.032266,0.035300,0.050200,0.7539,0.8248,0.6852,0.8485,0.7813,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9843,C,0.6080,0.8075,0.8770,0.078384,0.6500,0.0000,14.21,0.017805,1.0000,0.8236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,1.9844
BNBUSDT,240,-1,0.6080,1.0000,1.0000,828.119995,0.042800,0.032266,0.035300,0.050200,0.7539,0.8248,0.6852,0.8485,0.7813,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9843,C,0.6080,0.8075,0.8770,0.078384,0.6500,0.0000,14.21,0.017805,1.0000,0.8236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,1.9844
PROMUSDT,240,-1,0.6007,1.0000,1.0000,9.219000,0.021441,0.040975,0.240975,0.440975,1.9110,11.2388,0.6852,0.8395,0.7499,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0825,C,0.6007,0.8162,0.9137,0.072080,0.6500,0.0000,28.02,0.018681,1.0000,0.8203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,1,0,1.1749
ATOMUSDT,240,-1,0.6058,1.0000,1.0000,2.270000,0.042800,0.019200,0.035300,0.050221,0.4486,0.8248,0.6852,0.8479,0.7685,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9559,C,0.6058,0.8081,0.8916,0.076727,0.6500,0.0000,14.15,0.022828,1.0000,0.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,2.5363
ATOMUSDT,240,-1,0.6058,1.0000,1.0000,2.270000,0.042800,0.019200,0.035300,0.050221,0.4486,0.8248,0.6852,0.8479,0.7685,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9559,C,0.6058,0.8081,0.8916,0.076727,0.6500,0.0000,14.15,0.022828,1.0000,0.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,2.5363
ATOMUSDT,240,-1,0.6058,1.0000,1.0000,2.270000,0.042800,0.019200,0.035300,0.050221,0.4486,0.8248,0.6852,0.8479,0.7685,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9559,C,0.6058,0.8081,0.8916,0.076727,0.6500,0.0000,14.15,0.022828,1.0000,0.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,2.5363
SOLUSDT,240,-1,0.6009,1.0000,1.0000,127.209999,0.042800,0.032702,0.035300,0.050200,0.7641,0.8248,0.6852,0.8501,0.7353,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9832,C,0.6009,0.8060,0.9319,0.075583,0.6500,0.0000,14.04,0.021650,1.0000,0.8204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,1,1.0000
