symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,strategy_id,strategy_name,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
BNBUSDT,240,-1,0.5807,0.0000,1.0000,875.929993,0.010000,1.000000,1.002000,1.004000,100.0003,100.2003,0.0000,0.4371,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.306076,0.0000,1.0000,58.07,0.012792,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.010000,0.006188,0.025687,3
ETCUSDT,240,-1,0.5798,0.0000,1.0000,13.735000,0.010512,1.000000,1.002000,1.004000,95.1293,95.3195,0.0000,0.4340,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.305707,0.0000,1.0000,55.15,0.014016,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.010512,0.005388,0.011649,2
0GUSDT,240,-1,0.5610,0.0000,1.0000,1.180000,0.021892,1.000000,1.002000,1.004000,45.6795,45.7708,0.0000,0.3672,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.299057,0.0000,1.0000,25.62,0.029189,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.021892,0.103729,0.031610,13
WLFIUSDT,240,-1,0.5900,0.0000,1.0000,0.159800,0.016412,1.000000,1.000000,1.002000,60.9294,60.9294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,35.95,0.021883,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,-1.0,-0.016412,0.110763,0.023780,15
AVAXUSDT,240,-1,0.5608,0.0000,1.0000,14.205000,0.011396,1.000000,1.002000,1.004000,87.7515,87.9270,0.0000,0.5668,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.252087,0.0000,1.0000,49.21,0.015194,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.011396,0.116931,0.020345,22
AWEUSDT,240,-1,0.5618,0.0000,1.0000,0.065400,0.030000,1.000000,1.002000,1.004000,33.3333,33.4000,0.0000,0.5702,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.253180,0.0000,1.0000,18.73,0.052112,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.025076,0.042508,1
1000PEPEUSDT,240,-1,0.5705,0.0000,1.0000,0.004591,0.017468,0.999998,1.001998,1.003998,57.2480,57.3625,0.0000,0.4011,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.302100,0.0000,1.0000,32.66,0.023290,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.017468,0.011001,0.019910,3
SEIUSDT,240,-1,0.5707,0.0000,1.0000,0.137000,0.015027,1.000000,1.002000,1.004000,66.5478,66.6809,0.0000,0.4017,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.302160,0.0000,1.0000,37.98,0.020036,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.015027,0.010219,0.032847,3
1000BONKUSDT,240,-1,0.5753,0.0000,1.0000,0.009666,0.018633,0.999999,1.001999,1.003999,53.6679,53.7752,0.0000,0.4183,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.303905,0.0000,1.0000,30.88,0.024844,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.018633,0.113594,0.040451,16
TAKEUSDT,240,-1,0.5504,0.0000,1.0000,0.306730,0.017394,1.000000,1.002000,1.004000,57.4913,57.6063,0.0000,0.3297,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.296492,0.0000,1.0000,31.64,0.023192,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.017394,0.011476,0.048968,1
