symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
HBARUSDT,5,-1,0.6000,1.0000,0.0000,0.101820,0.003848,0.011393,0.211393,0.411393,2.9605,54.9336,0.6852,0.6528,0.8033,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1340,B,0.6000,1.0496,0.8529,0.062468,0.6500,1.0000,155.92,0.004054,1.0000,0.8200,1,0,0,1.0,1.0,0.008275,0.012178,0.002161,22
XNYUSDT,5,-1,0.6108,1.0000,0.0000,0.004909,0.008000,0.006722,0.010500,0.017000,0.8403,1.3125,0.6852,0.9282,0.7351,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9614,C,0.6108,0.7382,0.9321,0.107439,0.6500,1.0000,76.35,0.006709,1.0000,0.8249,1,0,0,1.0,1.0,0.005006,0.007945,0.002852,13
NAORISUSDT,5,-1,0.6662,1.0000,0.0000,0.032580,0.008000,0.010436,0.011486,0.018049,1.3045,1.4357,0.6852,0.7803,0.9950,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0174,C,0.6662,0.8781,0.6886,0.134261,0.6500,1.0000,83.28,0.008204,1.0000,0.8498,1,1,0,1.0,2.0,0.010547,0.026703,0.006139,16
WLFIUSDT,5,-1,0.6077,0.1329,0.2610,0.104700,0.008000,0.014709,0.214709,0.414709,1.8386,26.8385,0.3641,0.8890,0.9995,0.6500,1.0000,0.6329,0.1329,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9495,C,0.6077,0.4095,0.3642,0.243999,0.3641,0.1280,75.96,0.008910,1.0000,0.8235,0,0,0,0.0,-1.0,-0.008000,0.012416,0.008596,19
NAORISUSDT,5,-1,0.6538,1.0000,0.0000,0.032590,0.008000,0.009819,0.011030,0.017334,1.2274,1.3788,0.6852,0.7625,0.9499,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0142,C,0.6538,0.8986,0.7213,0.115915,0.6500,1.0000,81.73,0.007879,1.0000,0.8442,1,1,0,1.0,2.0,0.009962,0.027002,0.005830,15
NAORISUSDT,5,-1,0.6337,1.0000,0.0000,0.032670,0.008000,0.012244,0.212244,0.412244,1.5305,26.5306,0.6852,0.7656,0.8292,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0700,C,0.6337,0.8950,0.8263,0.069811,0.6500,1.0000,79.22,0.007736,1.0000,0.8352,1,0,0,1.0,1.0,0.008871,0.029385,0.002449,35
ORCAUSDT,5,-1,0.6756,1.0000,0.0000,1.128000,0.006721,0.029994,0.229994,0.429994,4.4630,34.2221,0.6852,0.9091,0.8559,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1419,B,0.6756,0.7537,0.8006,0.109803,0.6500,1.0000,100.53,0.011074,1.0000,0.8540,0,0,0,0.0,-1.0,-0.006721,0.005319,0.010638,1
TRXUSDT,5,-1,0.6054,1.0000,0.0000,0.281970,0.003800,0.006147,0.010500,0.017000,1.6177,2.7632,0.6852,0.6214,0.8814,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0415,C,0.6054,1.1027,0.7774,0.101791,0.6214,1.0000,159.30,0.000707,1.0000,0.8224,0,0,0,0.0,0.0,0.002731,0.004149,0.001490,100
AWEUSDT,5,-1,0.6332,1.0000,0.0000,0.089350,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.9180,0.5974,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9511,C,0.6332,0.7464,1.1470,0.122599,0.5974,1.0000,79.15,0.004073,1.0000,0.8349,1,0,0,1.0,1.0,0.003940,0.006156,0.000000,5
ALGOUSDT,5,-1,0.6036,1.0000,0.0000,0.094100,0.008000,0.010981,0.210981,0.410981,1.3726,26.3727,0.6852,0.6698,0.7986,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0453,C,0.6036,1.0229,0.8579,0.057783,0.6500,1.0000,75.45,0.004018,1.0000,0.8216,1,0,0,1.0,1.0,0.009600,0.017003,0.001063,100
